pos	3pG>A
1	0.190448054250107
2	0.118756907760189
3	0.0809390948100796
4	0.0542089531182492
5	0.0362289585929684
6	0.0258523428410253
7	0.0189024551972911
8	0.014194087392413
9	0.0120537578056298
10	0.0100046676706562
11	0.00870359473392997
12	0.00769264621748889
13	0.00735319956425484
14	0.00706306623273815
15	0.00696442354922462
16	0.00649099352659724
17	0.00680266122219093
18	0.00638226991390949
19	0.00654281735291799
20	0.00609518754423213
21	0.00597627094775384
22	0.00640314256020011
23	0.0060245732227509
24	0.00596925569192302
25	0.00602802502864193
