pos	5pC>T
1	0.221934354330987
2	0.144715834413895
3	0.0936041288686125
4	0.0630357599090805
5	0.0423237171035283
6	0.0295698451019437
7	0.0214950301018697
8	0.0160076243591214
9	0.012470062129367
10	0.0105676462005111
11	0.00897664491308816
12	0.00794895839723758
13	0.0078256353377171
14	0.00758790869833436
15	0.00697825666625653
16	0.00640445588480765
17	0.00692861056613111
18	0.00639860201578028
19	0.00638638040690116
20	0.0060430135901834
21	0.00630763915342978
22	0.00630820330740157
23	0.00607440486655649
24	0.00589401301594541
25	0.00598140677074198
