# table produced by mapDamage version 2.2.1
# using mapped file d3.sorted.bam and chr22.fa.gz as reference file
# Std: strand of reads
Std	Length	Occurences 
+	100	36410
+	75	2729
+	84	2279
+	83	2352
+	45	5005
+	82	2445
+	80	2536
+	40	4040
+	60	4569
+	99	4578
+	53	4557
+	58	3963
+	90	2173
+	44	4808
+	51	5271
+	69	3081
+	85	2151
+	47	5230
+	48	5181
+	54	4329
+	88	2118
+	89	1858
+	61	3704
+	79	2614
+	50	5310
+	41	4317
+	59	3982
+	66	3287
+	42	5040
+	65	3194
+	91	1767
+	52	4697
+	49	4980
+	70	3018
+	64	3561
+	68	3338
+	74	2667
+	71	2989
+	94	1742
+	98	2921
+	95	2800
+	72	2879
+	93	1665
+	77	2453
+	76	2413
+	46	4816
+	57	4069
+	86	2187
+	62	3484
+	55	4451
+	96	1674
+	63	3559
+	73	2674
+	56	4699
+	81	2369
+	97	2171
+	78	2545
+	43	4496
+	87	2055
+	67	2913
+	92	1686
+	39	25
+	37	14
-	66	3228
-	50	5171
-	44	4924
-	74	2751
-	75	2752
-	100	36098
-	43	4656
-	42	4986
-	87	2070
-	45	4955
-	76	2351
-	72	2787
-	48	5181
-	70	2967
-	68	3357
-	57	4151
-	71	2900
-	85	2107
-	91	1859
-	97	2134
-	92	1634
-	65	3332
-	58	3897
-	82	2470
-	95	2736
-	53	4522
-	80	2485
-	46	4918
-	49	5046
-	67	2976
-	56	4600
-	51	5383
-	79	2509
-	55	4455
-	47	5225
-	52	4830
-	73	2786
-	54	4465
-	78	2517
-	60	4568
-	64	3557
-	94	1728
-	59	4113
-	62	3474
-	88	2089
-	81	2381
-	90	2101
-	41	4298
-	77	2426
-	61	3669
-	84	2319
-	69	2996
-	89	1842
-	40	4071
-	99	4565
-	96	1675
-	98	3021
-	86	2156
-	63	3696
-	93	1653
-	83	2397
-	39	21
-	37	13
