pos	5pC>T
1	0.218116529595737
2	0.148287869994196
3	0.0977856611546604
4	0.0656501726121979
5	0.0449314751633609
6	0.0303465716420484
7	0.0211058782487354
8	0.0166830794184093
9	0.015258824206829
10	0.0125130950995228
11	0.0112948769665188
12	0.00861043448705602
13	0.00853025936599424
14	0.00911317423249986
15	0.00831264792472436
16	0.00801845976348428
17	0.00854360084296862
18	0.00748520366716955
19	0.00768216476523534
20	0.00652323186083772
21	0.00883002207505519
22	0.00787039696673752
23	0.00644973852411389
24	0.00661375661375661
25	0.00715922107674685
