pos	3pG>A
1	0.0500681621018714
2	0.0300866369125755
3	0.0298499072460509
4	0.0180349320134266
5	0.0112927692566998
6	0.0115670138689072
7	0.00971878773937547
8	0.00913757121101021
9	0.00845641471184477
10	0.00735419873439371
11	0.00710357470210816
12	0.00724720383474093
13	0.00600823987182422
14	0.0070974335680218
15	0.00721732157177225
16	0.00633842671194114
17	0.00713751223162378
18	0.0064113475177305
19	0.00636796511961448
20	0.0067365707925722
21	0.00627807856237761
22	0.00658912507878302
23	0.00615721026585338
24	0.00563186023791736
25	0.00647527362328806
